hospital_id,department,department_code,hour,queue_length,people_ahead,doctors_available,patients_being_served,average_service_time,arrival_rate,service_rate,emergency_patients,waiting_time_minutes
1,General Medicine,GEN,8,11,9,2,2,10.2,5.0,11.82,0,46.8
1,General Medicine,GEN,9,8,6,2,2,10.2,5.0,11.82,0,30.0
1,General Medicine,GEN,10,5,3,2,2,10.2,4.0,11.82,0,12.7
1,General Medicine,GEN,11,6,4,2,2,10.2,6.0,11.82,0,18.0
1,General Medicine,GEN,12,9,7,2,2,10.2,4.0,11.82,0,35.9
1,General Medicine,GEN,13,4,2,2,2,10.2,1.0,11.82,2,22.7
1,General Medicine,GEN,14,9,7,2,2,10.2,7.0,11.82,0,38.0
1,General Medicine,GEN,15,18,16,2,2,10.2,5.0,11.82,0,80.3
1,General Medicine,GEN,16,10,8,2,2,10.2,3.0,11.82,0,41.0
1,General Medicine,GEN,17,10,8,2,2,10.2,3.0,11.82,1,47.4
1,General Medicine,GEN,18,6,4,2,2,10.2,3.0,11.82,0,23.6
1,Cardiology,CAR,8,8,6,2,2,15.6,8.0,7.7,0,50.5
1,Cardiology,CAR,9,13,11,2,2,15.6,7.0,7.7,0,82.5
1,Cardiology,CAR,10,13,11,2,2,15.6,5.0,7.7,2,104.1
1,Cardiology,CAR,11,2,0,2,2,15.6,9.0,7.7,3,29.2
1,Cardiology,CAR,12,10,8,2,2,15.6,4.0,7.7,0,63.9
1,Cardiology,CAR,13,9,7,2,2,15.6,0.0,7.7,1,64.7
1,Cardiology,CAR,14,6,4,2,2,15.6,6.0,7.7,0,31.8
1,Cardiology,CAR,15,10,8,2,2,15.6,5.0,7.7,0,60.8
1,Cardiology,CAR,16,9,7,2,2,15.6,4.0,7.7,0,50.2
1,Cardiology,CAR,17,11,9,2,2,15.6,7.0,7.7,0,66.9
1,Cardiology,CAR,18,7,5,2,2,15.6,7.0,7.7,0,40.7
1,Orthopaedics,ORT,8,18,17,1,1,12.0,8.0,5.02,0,150.0
1,Orthopaedics,ORT,9,15,14,1,1,12.0,8.0,5.02,0,150.0
